country,city_actual,rating_count,center1label,center2label,neighbourhood,price,city,stars,ratingta,ratingta_count,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday,distance,distance_alter,accommodation_type,nnights,rating
Austria,Vienna,150.0,City centre,Donauturm,Innere Stadt,544,Vienna,5.0,4.5,1178.0,0,22006,0,0% no offer,2017,11,0,0,0.5,3.2,Hotel,1,4.8
Austria,Vienna,531.0,City centre,Donauturm,Innere Stadt,252,Vienna,5.0,4.5,1050.0,0,22007,1,1-15% offer,2017,11,0,0,0.5,3.2,Hotel,1,4.6
Austria,Vienna,253.0,City centre,Donauturm,Innere Stadt,323,Vienna,5.0,4.5,1168.0,0,22008,1,15-50% offer,2017,11,0,0,0.5,3.2,Hotel,1,4.5
Austria,Vienna,47.0,City centre,Donauturm,Innere Stadt,158,Vienna,3.0,4.0,232.0,1,22009,0,0% no offer,2017,11,0,0,0.3,3.1,Hotel,1,4.3
Austria,Vienna,124.0,City centre,Donauturm,Innere Stadt,218,Vienna,4.0,5.0,1112.0,1,22011,1,50%-75% offer,2017,11,0,0,0.2,2.6,Hotel,1,4.6
Austria,Vienna,115.0,City centre,Donauturm,Innere Stadt,218,Vienna,4.0,4.5,475.0,0,22012,1,15-50% offer,2017,11,0,0,0.1,2.7,Hotel,1,4.5
Austria,Vienna,467.0,City centre,Donauturm,Innere Stadt,179,Vienna,4.0,4.5,423.0,1,22016,0,0% no offer,2017,11,0,0,0.5,3.3,Hotel,1,4.4
Austria,Vienna,650.0,City centre,Donauturm,Innere Stadt,157,Vienna,4.0,4.5,1380.0,0,22018,1,1-15% offer,2017,11,0,0,0.7,3.5,Hotel,1,4.5
Austria,Vienna,95.0,City centre,Donauturm,Innere Stadt,146,Vienna,4.0,4.5,770.0,1,22019,0,0% no offer,2017,11,0,0,0.3,2.8,Hotel,1,4.5
Austria,Vienna,564.0,City centre,Donauturm,Innere Stadt,200,Vienna,5.0,4.0,1850.0,0,22020,1,15-50% offer,2017,11,0,0,0.4,2.9,Hotel,1,4.3
Austria,Vienna,168.0,City centre,Donauturm,Innere Stadt,157,Vienna,4.0,4.0,392.0,1,22021,0,0% no offer,2017,11,0,0,0.1,2.8,Hotel,1,4.1
Austria,Vienna,148.0,City centre,Donauturm,Innere Stadt,163,Vienna,4.0,4.0,388.0,1,22028,0,0% no offer,2017,11,0,0,0.4,2.7,Hotel,1,4.1
Austria,Vienna,163.0,City centre,Donauturm,Innere Stadt,116,Vienna,4.0,4.5,212.0,1,22029,1,15-50% offer,2017,11,0,0,0.2,2.8,Apart-hotel,1,4.5
Austria,Vienna,493.0,City centre,Donauturm,Innere Stadt,226,Vienna,5.0,4.5,2985.0,0,22030,1,15-50% offer,2017,11,0,0,0.5,3.3,Hotel,1,4.3
Austria,Vienna,56.0,City centre,Donauturm,Innere Stadt,231,Vienna,4.0,4.5,282.0,0,22031,1,15-50% offer,2017,11,0,0,0.1,2.7,Hotel,1,4.4
Austria,Vienna,247.0,City centre,Donauturm,Innere Stadt,116,Vienna,4.0,4.5,1274.0,1,22032,1,15-50% offer,2017,11,0,0,0.4,2.6,Hotel,1,4.4
Austria,Vienna,599.0,City centre,Donauturm,Innere Stadt,184,Vienna,5.0,4.5,1330.0,0,22035,1,15-50% offer,2017,11,0,0,0.6,2.7,Hotel,1,4.5
Austria,Vienna,258.0,City centre,Donauturm,Innere Stadt,384,Vienna,5.0,5.0,1207.0,0,22036,1,15-50% offer,2017,11,0,0,0.6,2.5,Hotel,1,4.8
Austria,Vienna,703.0,City centre,Donauturm,Innere Stadt,166,Vienna,4.0,4.0,1592.0,1,22037,1,15-50% offer,2017,11,0,0,0.6,2.8,Hotel,1,4.3
Austria,Vienna,230.0,City centre,Donauturm,Innere Stadt,187,Vienna,5.0,4.0,468.0,0,22038,1,15-50% offer,2017,11,0,0,0.5,3.1,Hotel,1,4.1
Austria,Vienna,112.0,City centre,Donauturm,Innere Stadt,371,Vienna,5.0,4.5,1319.0,0,22039,1,1-15% offer,2017,11,0,0,0.5,3.1,Hotel,1,4.6
Austria,Vienna,278.0,City centre,Donauturm,Innere Stadt,156,Vienna,4.0,4.5,272.0,1,22040,0,0% no offer,2017,11,0,0,0.1,2.7,Pension,1,4.4
Austria,Vienna,81.0,City centre,Donauturm,Innere Stadt,169,Vienna,4.0,4.5,561.0,1,22042,0,0% no offer,2017,11,0,0,0.3,2.5,Hotel,1,4.5
Austria,Vienna,15.0,City centre,Donauturm,Innere Stadt,266,Vienna,5.0,,,1,22044,0,0% no offer,2017,11,0,0,0.3,2.6,Apartment,1,4.5
Austria,Vienna,150.0,City centre,Donauturm,Innere Stadt,168,Vienna,4.0,4.5,154.0,1,22046,0,0% no offer,2017,11,0,0,0.2,2.8,Apartment,1,4.6
Austria,Vienna,404.0,City centre,Donauturm,Innere Stadt,242,Vienna,4.0,4.5,2165.0,0,22050,1,1-15% offer,2017,11,0,0,0.0,2.8,Hotel,1,4.8
Austria,Vienna,653.0,City centre,Donauturm,Innere Stadt,149,Vienna,4.0,4.5,930.0,1,22052,1,15-50% offer,2017,11,0,0,0.3,2.7,Hotel,1,4.4
Austria,Vienna,230.0,City centre,Donauturm,Innere Stadt,163,Vienna,4.0,4.5,203.0,1,22057,1,15-50% offer,2017,11,0,0,0.3,2.6,Apart-hotel,1,4.4
Austria,Vienna,69.0,City centre,Donauturm,Innere Stadt,116,Vienna,3.0,4.5,774.0,1,22059,1,15-50% offer,2017,11,0,0,0.4,3.1,Pension,1,4.1
Austria,Vienna,298.0,City centre,Donauturm,Josefstadt,127,Vienna,5.0,4.0,876.0,1,22069,1,1-15% offer,2017,11,0,0,0.8,3.4,Hotel,1,4.1
Austria,Vienna,354.0,City centre,Donauturm,Josefstadt,110,Vienna,3.0,4.0,419.0,0,22071,1,15-50% offer,2017,11,0,0,0.9,3.4,Hotel,1,4.1
Austria,Vienna,92.0,City centre,Donauturm,Josefstadt,88,Vienna,3.0,4.0,509.0,1,22072,1,15-50% offer,2017,11,0,0,0.9,3.3,Hotel,1,4.4
Austria,Vienna,342.0,City centre,Donauturm,Josefstadt,152,Vienna,4.0,4.0,1461.0,0,22077,1,1-15% offer,2017,11,0,0,0.9,3.4,Hotel,1,4.3
Austria,Vienna,1.0,City centre,Donauturm,Josefstadt,363,Vienna,3.5,,,1,22079,1,1-15% offer,2017,11,0,0,1.5,3.5,Apartment,1,5.0
Austria,Vienna,169.0,City centre,Donauturm,Josefstadt,94,Vienna,3.0,4.0,452.0,1,22084,1,15-50% offer,2017,11,0,0,1.0,3.4,Hotel,1,4.1
Austria,Vienna,765.0,City centre,Donauturm,Josefstadt,115,Vienna,4.0,4.5,2150.0,0,22088,1,15-50% offer,2017,11,0,0,0.9,3.5,Hotel,1,4.5
Austria,Vienna,80.0,City centre,Donauturm,Josefstadt,101,Vienna,4.0,4.5,90.0,1,22089,1,15-50% offer,2017,11,0,0,1.2,3.8,Apartment,1,4.4
Austria,Vienna,78.0,City centre,Donauturm,Kaerntner Strasse,354,Vienna,5.0,4.5,1504.0,0,22092,1,1-15% offer,2017,11,0,0,0.4,3.2,Hotel,1,4.5
Austria,Vienna,184.0,City centre,Donauturm,Kaerntner Strasse,153,Vienna,4.0,4.0,700.0,1,22093,1,15-50% offer,2017,11,0,0,0.2,3.0,Hotel,1,4.1
Austria,Vienna,276.0,City centre,Donauturm,Kaerntner Strasse,202,Vienna,5.0,4.0,615.0,1,22094,1,15-50% offer,2017,11,0,0,0.2,3.0,Hotel,1,4.3
Austria,Vienna,313.0,City centre,Donauturm,Kaerntner Strasse,169,Vienna,4.0,4.0,760.0,1,22095,1,1-15% offer,2017,11,0,0,0.3,3.1,Hotel,1,4.1
Austria,Vienna,323.0,City centre,Donauturm,Kaerntner Strasse,182,Vienna,4.0,4.5,327.0,0,22097,1,1-15% offer,2017,11,0,0,0.5,3.3,Hotel,1,4.5
Austria,Vienna,90.0,City centre,Donauturm,Kaerntner Strasse,138,Vienna,4.0,4.5,408.0,1,22099,1,1-15% offer,2017,11,0,0,0.2,3.0,Pension,1,4.1
Austria,Vienna,140.0,City centre,Donauturm,Kaerntner Strasse,527,Vienna,5.0,5.0,1748.0,1,22100,1,1-15% offer,2017,11,0,0,0.4,3.1,Hotel,1,4.8
Austria,Vienna,512.0,City centre,Donauturm,Kaerntner Strasse,142,Vienna,4.0,4.0,837.0,0,22101,1,15-50% offer,2017,11,0,0,0.1,2.8,Hotel,1,4.4
Austria,Vienna,340.0,City centre,Donauturm,Landstrasse,110,Vienna,4.0,4.5,2718.0,0,22104,1,1-15% offer,2017,11,0,0,0.6,3.2,Hotel,1,4.3
Austria,Vienna,34.0,City centre,Donauturm,Landstrasse,82,Vienna,3.5,4.0,25.0,1,22107,1,15-50% offer,2017,11,0,0,1.9,3.2,Apartment,1,4.1
Austria,Vienna,97.0,City centre,Donauturm,Landstrasse,83,Vienna,3.5,4.5,35.0,1,22110,1,15-50% offer,2017,11,0,0,1.7,3.0,Apartment,1,4.4
Austria,Vienna,84.0,City centre,Donauturm,Landstrasse,162,Vienna,4.0,5.0,610.0,1,22113,1,15-50% offer,2017,11,0,0,1.1,2.8,Bed and breakfast,1,4.8
Austria,Vienna,152.0,City centre,Donauturm,Landstrasse,177,Vienna,5.0,4.0,2015.0,0,22114,1,50%-75% offer,2017,11,0,0,0.5,3.0,Hotel,1,4.3
Austria,Vienna,359.0,City centre,Donauturm,Landstrasse,82,Vienna,4.0,4.0,717.0,1,22118,1,1-15% offer,2017,11,0,0,1.7,3.3,Hotel,1,4.1
Austria,Vienna,303.0,City centre,Donauturm,Landstrasse,169,Vienna,4.0,4.0,1208.0,0,22120,0,0% no offer,2017,11,0,0,0.8,2.7,Hotel,1,4.1
Austria,Vienna,173.0,City centre,Donauturm,Landstrasse,109,Vienna,4.0,4.0,666.0,0,22123,0,0% no offer,2017,11,0,0,1.5,3.8,Hotel,1,4.1
Austria,Vienna,249.0,City centre,Donauturm,Landstrasse,145,Vienna,3.5,4.5,730.0,0,22126,1,15-50% offer,2017,11,0,0,0.9,2.5,Hotel,1,4.3
Austria,Vienna,6.0,City centre,Donauturm,Landstrasse,107,Vienna,4.0,,,1,22129,1,15-50% offer,2017,11,0,0,1.3,3.4,Vacation home Condo,1,4.3
Austria,Vienna,18.0,City centre,Donauturm,Landstrasse,184,Vienna,4.0,4.0,5.0,1,22131,1,1-15% offer,2017,11,0,0,0.7,2.2,Apartment,1,4.5
Austria,Vienna,497.0,City centre,Donauturm,Landstrasse,137,Vienna,4.5,4.0,1060.0,0,22132,1,15-50% offer,2017,11,0,0,1.0,3.3,Hotel,1,4.1
Austria,Vienna,503.0,City centre,Donauturm,Landstrasse,116,Vienna,4.5,4.5,1591.0,0,22134,1,1-15% offer,2017,11,0,0,1.1,3.3,Hotel,1,4.5
Austria,Vienna,171.0,City centre,Donauturm,Landstrasse,134,Vienna,4.0,4.5,343.0,1,22138,1,15-50% offer,2017,11,0,0,0.6,3.0,Hotel,1,4.3
Austria,Vienna,13.0,City centre,Donauturm,Landstrasse,143,Vienna,3.0,,,1,22141,0,0% no offer,2017,11,0,0,1.4,3.3,Apartment,1,4.5
Austria,Vienna,281.0,City centre,Donauturm,Landstrasse,132,Vienna,4.0,4.0,1403.0,0,22142,1,15-50% offer,2017,11,0,0,1.0,3.2,Hotel,1,4.1
Austria,Vienna,267.0,City centre,Donauturm,Leopoldstadt,128,Vienna,4.0,4.0,1437.0,0,22144,1,15-50% offer,2017,11,0,0,0.6,2.3,Hotel,1,4.1
Austria,Vienna,183.0,City centre,Donauturm,Leopoldstadt,99,Vienna,3.0,4.5,491.0,0,22145,0,0% no offer,2017,11,0,0,1.5,1.6,Hotel,1,4.5
Austria,Vienna,11.0,City centre,Donauturm,Leopoldstadt,155,Vienna,3.0,4.0,28.0,0,22150,0,0% no offer,2017,11,0,0,1.9,1.4,Apartment,1,4.1
Austria,Vienna,6.0,City centre,Donauturm,Leopoldstadt,141,Vienna,5.0,,,1,22156,1,1-15% offer,2017,11,0,0,1.7,1.4,Apartment,1,4.3
Austria,Vienna,603.0,City centre,Donauturm,Leopoldstadt,113,Vienna,4.0,4.5,1516.0,1,22159,1,15-50% offer,2017,11,0,0,1.0,1.8,Hotel,1,4.5
Austria,Vienna,267.0,City centre,Donauturm,Leopoldstadt,82,Vienna,3.0,4.0,727.0,0,22169,1,15-50% offer,2017,11,0,0,1.6,1.7,Hotel,1,4.1
Austria,Vienna,240.0,City centre,Donauturm,Leopoldstadt,240,Vienna,5.0,4.5,2098.0,0,22175,1,15-50% offer,2017,11,0,0,0.4,2.4,Hotel,1,4.5
Austria,Vienna,374.0,City centre,Donauturm,Leopoldstadt,113,Vienna,3.0,4.5,1686.0,0,22176,1,15-50% offer,2017,11,0,0,0.8,2.1,Hotel,1,4.5
Austria,Vienna,468.0,City centre,Donauturm,Leopoldstadt,106,Vienna,3.0,4.5,1449.0,1,22177,1,15-50% offer,2017,11,0,0,1.0,1.9,Hotel,1,4.5
Austria,Vienna,422.0,City centre,Donauturm,Leopoldstadt,89,Vienna,3.0,4.0,1580.0,0,22179,1,15-50% offer,2017,11,0,0,1.6,1.2,Hotel,1,4.1
Austria,Vienna,2.0,City centre,Donauturm,Leopoldstadt,92,Vienna,3.5,,,1,22181,0,0% no offer,2017,11,0,0,0.8,2.3,Apartment,1,4.5
Austria,Vienna,527.0,City centre,Donauturm,Leopoldstadt,106,Vienna,4.0,4.0,739.0,1,22182,1,15-50% offer,2017,11,0,0,0.8,2.0,Hotel,1,4.1
Austria,Vienna,461.0,City centre,Donauturm,Leopoldstadt,75,Vienna,3.0,4.0,827.0,0,22184,1,15-50% offer,2017,11,0,0,0.7,2.2,Hotel,1,4.1
Austria,Vienna,104.0,City centre,Donauturm,Leopoldstadt,151,Vienna,4.0,4.5,1272.0,0,22187,0,0% no offer,2017,11,0,0,0.5,2.3,Hotel,1,4.6
Austria,Vienna,75.0,City centre,Donauturm,Leopoldstadt,117,Vienna,4.0,4.5,836.0,1,22189,0,0% no offer,2017,11,0,0,0.5,2.3,Hotel,1,4.4
Austria,Vienna,139.0,City centre,Donauturm,Leopoldstadt,120,Vienna,4.0,4.0,807.0,0,22190,1,50%-75% offer,2017,11,0,0,1.9,1.9,Hotel,1,4.5
Austria,Vienna,6.0,City centre,Donauturm,Margareten,160,Vienna,4.0,,,1,22194,1,1-15% offer,2017,11,0,0,1.6,4.4,Apartment,1,4.3
Austria,Vienna,137.0,City centre,Donauturm,Margareten,111,Vienna,4.5,4.5,659.0,0,22196,1,15-50% offer,2017,11,0,0,2.0,4.8,Hotel,1,4.5
Austria,Vienna,144.0,City centre,Donauturm,Margareten,174,Vienna,4.0,4.5,1650.0,0,22198,0,0% no offer,2017,11,0,0,1.5,4.3,Hotel,1,4.3
Austria,Vienna,11.0,City centre,Donauturm,Margareten,73,Vienna,3.0,,,1,22200,0,0% no offer,2017,11,0,0,1.4,4.2,Apartment,1,4.3
Austria,Vienna,58.0,City centre,Donauturm,Margareten,100,Vienna,3.5,4.5,15.0,0,22201,0,0% no offer,2017,11,0,0,1.5,4.3,Hotel,1,4.5
Austria,Vienna,248.0,City centre,Donauturm,Margareten,129,Vienna,4.0,4.0,372.0,0,22206,1,1-15% offer,2017,11,0,0,1.3,4.1,Hotel,1,4.1
Austria,Vienna,151.0,City centre,Donauturm,Margareten,80,Vienna,3.0,4.0,161.0,1,22208,1,50%-75% offer,2017,11,0,0,1.9,4.6,Apartment,1,4.1
Austria,Vienna,2.0,City centre,Donauturm,Margareten,150,Vienna,3.5,,,1,22210,1,1-15% offer,2017,11,0,0,1.6,4.3,Apartment,1,5.0
Austria,Vienna,3.0,City centre,Donauturm,Mariahilf,159,Vienna,3.0,,,1,22211,1,15-50% offer,2017,11,0,0,1.1,3.9,Apartment,1,4.6
Austria,Vienna,258.0,City centre,Donauturm,Mariahilf,131,Vienna,4.0,4.0,682.0,0,22214,1,1-15% offer,2017,11,0,0,0.7,3.4,Hotel,1,4.1
Austria,Vienna,13.0,City centre,Donauturm,Mariahilf,103,Vienna,4.0,,,1,22215,1,15-50% offer,2017,11,0,0,2.0,4.7,Apartment,1,4.1
Austria,Vienna,5.0,City centre,Donauturm,Mariahilf,81,Vienna,3.5,,,1,22221,1,15-50% offer,2017,11,0,0,1.8,4.6,Apartment,1,4.5
Austria,Vienna,210.0,City centre,Donauturm,Mariahilf,140,Vienna,4.0,5.0,1495.0,1,22223,1,15-50% offer,2017,11,0,0,0.8,3.6,Hotel,1,4.8
Austria,Vienna,49.0,City centre,Donauturm,Mariahilf,75,Vienna,4.0,4.0,151.0,1,22225,0,0% no offer,2017,11,0,0,1.1,3.9,Pension,1,4.1
Austria,Vienna,162.0,City centre,Donauturm,Mariahilf,105,Vienna,4.0,4.5,716.0,0,22226,1,15-50% offer,2017,11,0,0,1.4,4.1,Hotel,1,4.4
Austria,Vienna,581.0,City centre,Donauturm,Mariahilf,100,Vienna,3.5,4.5,1414.0,0,22227,1,15-50% offer,2017,11,0,0,1.7,4.4,Hotel,1,4.5
Austria,Vienna,239.0,City centre,Donauturm,Mariahilf,84,Vienna,4.0,4.0,561.0,0,22237,1,15-50% offer,2017,11,0,0,1.6,4.3,Hotel,1,4.3
Austria,Vienna,310.0,City centre,Donauturm,Neubau,333,Vienna,5.0,5.0,1523.0,0,22240,1,1-15% offer,2017,11,0,0,0.7,3.4,Hotel,1,4.9
Austria,Vienna,305.0,City centre,Donauturm,Neubau,99,Vienna,3.0,4.0,1171.0,0,22241,0,0% no offer,2017,11,0,0,1.8,4.4,Hotel,1,4.1
Austria,Vienna,6.0,City centre,Donauturm,Neubau,160,Vienna,3.5,,,1,22244,1,1-15% offer,2017,11,0,0,1.6,4.3,Apartment,1,4.6
Austria,Vienna,1.0,City centre,Donauturm,Neubau,160,Vienna,3.5,,,1,22245,1,1-15% offer,2017,11,0,0,1.6,4.3,Apartment,1,5.0
Austria,Vienna,14.0,City centre,Donauturm,Neubau,89,Vienna,3.0,4.0,36.0,1,22247,1,15-50% offer,2017,11,0,0,1.6,4.1,Bed and breakfast,1,4.4
Austria,Vienna,328.0,City centre,Donauturm,Neubau,110,Vienna,4.0,4.5,2436.0,0,22249,1,15-50% offer,2017,11,0,0,0.9,3.6,Hotel,1,4.4
Austria,Vienna,123.0,City centre,Donauturm,Neubau,184,Vienna,4.0,4.5,2431.0,0,22250,1,50%-75% offer,2017,11,0,0,1.0,3.7,Hotel,1,4.6
Austria,Vienna,77.0,City centre,Donauturm,Neubau,1012,Vienna,3.0,4.0,364.0,1,22252,1,1-15% offer,2017,11,0,0,1.0,3.8,Hotel,1,4.3
Austria,Vienna,308.0,City centre,Donauturm,Neubau,99,Vienna,4.0,4.0,612.0,0,22253,1,15-50% offer,2017,11,0,0,1.7,4.4,Hotel,1,4.1
Austria,Vienna,544.0,City centre,Donauturm,Neubau,122,Vienna,4.0,4.0,978.0,0,22255,1,1-15% offer,2017,11,0,0,1.7,4.3,Hotel,1,4.3
Austria,Vienna,3.0,City centre,Donauturm,Neubau,98,Vienna,4.0,,,1,22257,1,15-50% offer,2017,11,0,0,1.7,4.2,Apartment,1,5.0
Austria,Vienna,54.0,City centre,Donauturm,Neubau,105,Vienna,3.0,4.5,412.0,1,22260,1,15-50% offer,2017,11,0,0,1.2,3.9,Hotel,1,4.1
Austria,Vienna,4.0,City centre,Donauturm,Ottakring,133,Vienna,2.5,,,1,22266,0,0% no offer,2017,11,0,0,2.3,4.6,Apartment,1,4.3
Austria,Vienna,156.0,City centre,Donauturm,Rudolfsheim-Funfhaus,136,Vienna,3.0,4.5,1452.0,0,22277,1,15-50% offer,2017,11,0,0,1.9,4.5,Hotel,1,4.5
Austria,Vienna,81.0,City centre,Donauturm,Rudolfsheim-Funfhaus,80,Vienna,3.0,4.0,464.0,1,22279,1,15-50% offer,2017,11,0,0,2.1,4.8,Hotel,1,4.1
Austria,Vienna,54.0,City centre,Donauturm,Rudolfsheim-Funfhaus,81,Vienna,3.0,4.5,635.0,1,22281,1,1-15% offer,2017,11,0,0,2.4,4.9,Hotel,1,4.1
Austria,Vienna,2.0,City centre,Donauturm,Rudolfsheim-Funfhaus,121,Vienna,3.0,,,1,22287,0,0% no offer,2017,11,0,0,1.8,4.4,Apartment,1,4.5
Austria,Vienna,113.0,City centre,Donauturm,Rudolfsheim-Funfhaus,83,Vienna,3.0,4.0,260.0,0,22289,1,15-50% offer,2017,11,0,0,2.1,4.8,Hotel,1,4.1
Austria,Vienna,10.0,City centre,Donauturm,Rudolfsheim-Funfhaus,53,Vienna,2.0,4.5,604.0,1,22290,0,0% no offer,2017,11,0,0,1.9,4.6,Hostel,1,4.1
Austria,Vienna,69.0,City centre,Donauturm,Rudolfsheim-Funfhaus,48,Vienna,2.0,4.5,945.0,1,22294,0,0% no offer,2017,11,0,0,2.0,4.7,Hostel,1,4.5
Austria,Vienna,314.0,City centre,Donauturm,Rudolfsheim-Funfhaus,142,Vienna,4.5,4.0,831.0,0,22295,1,50%-75% offer,2017,11,0,0,2.9,5.5,Hotel,1,4.3
